ID	DESC	SECT	FightState
80	白水洞内洞洞口	71,1721,3107	1
81	白水洞内洞洞口	71,1739,3208	1
82	伏流洞内洞洞口	73,1599,2803	1
83	伏流洞内洞洞口	73,1635,2990	1
84	伏流洞内洞洞口	73,1536,3073	1
85	大酋洞内洞洞口	72,1700,2865	1
86	大酋洞内洞洞口	72,1611,2969	1
87	大酋洞内洞洞口	72,1796,3088	1
88	大酋洞内洞洞口	72,1660,3306	1
89	白水洞洞口	70,1649,3050	1
90	白水洞洞口	70,1828,2948	1
91	白水洞洞口	70,1972,2926	1
92	伏流洞内洞洞口	73,1599,3210	1
93	大酋洞洞口	70,1691,2873	1
94	大酋洞洞口	70,1564,2855	1
95	大酋洞洞口	70,1540,2953	1
96	大酋洞洞口	70,1340,2502	1
97	大酋洞内洞洞口	72,1741,3205	1
98	大酋洞内洞洞口	72,1583,3042	1
99	大酋洞内洞洞口	72,1722,3106	1
100	大酋洞内洞洞口	72,1702,3031	1
101	伏流洞洞口	70,1173,2751	1
102	伏流洞洞口	70,1232,2908	1
103	伏流洞洞口	70,1393,2674	1
104	白水洞内洞洞口	71,1659,3306	1
105	伏牛山北麓	41,2078,2804	1
106	铁塔迷宫	38,1602,3206	1
107	天心洞内洞洞口	42,1584,3221	1
108	天心洞内洞洞口	42,1619,2894	1
109	天心洞内洞洞口	42,1676,2901	1
110	天心洞洞口	41,1685,3268	1
111	天心洞洞口	41,1788,3085	1
112	天心洞洞口	41,1951,2989	1
113	剑阁蜀道	43,1695,3200	1
114	鸡冠洞内洞洞口	91,1595,3215	1
115	鸡冠洞内洞洞口	91,1806,2858	1
116	锁云洞内洞洞口	6,1464,3127	1
117	天心洞内洞洞口	42,1648,3119	1
118	鸡冠洞内洞洞口	91,1469,2870	1
119	鸡冠洞内洞洞口	91,1511,2861	1
120	鸡冠洞内洞洞口	91,1622,2736	1
121	鸡冠洞内洞洞口	91,1582,3144	1
122	鸡冠洞内洞洞口	91,1785,2820	1
123	鸡冠洞内洞洞口	91,1570,2661	1
124	鸡冠洞洞口	90,1612,3201	1
125	鸡冠洞洞口	90,1629,3062	1
126	鸡冠洞洞口	90,1668,3162	1
127	鸡冠洞洞口	90,1839,2856	1
128	鸡冠洞洞口	90,1784,3532	1
129	鸡冠洞洞口	90,1920,3353	1
130	天心洞内洞洞口	42,1559,3056	1
131	天心洞内洞洞口	42,1701,3012	1
132	荐菊洞洞口	92,1852,3240	1
133	荐菊洞洞口	92,1894,3208	1
134	荐菊洞洞口	92,2025,3040	1
135	灵谷洞内洞洞口	94,1591,3194	1
136	灵谷洞洞口	92,1690,2992	1
137	灵谷洞洞口	92,1785,2579	1
138	灵谷洞洞口	92,1864,2448	1
139	灵谷洞洞口	92,1931,2573	1
140	荐菊洞内洞洞口	93,1722,3110	1
141	灵谷洞内洞洞口	94,1640,3259	1
142	灵谷洞内洞洞口	94,1670,3045	1
143	灵谷洞内洞洞口	94,1719,3127	1
144	灵谷洞内洞洞口	94,1751,3107	1
145	荐菊洞内洞洞口	93,1701,3029	1
146	荐菊洞内洞洞口	93,1573,3121	1
147	荐菊洞内洞洞口	93,1526,3172	1
148	武当井底	82,1593,3193	1
149	火狼洞内洞洞口	83,1584,3248	1
150	伏牛山南麓	90,1649,3567	1
151	蜀冈山脚	92,1637,3302	1
