名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1	魔法属性索引2	魔法属性索引3	魔法属性索引4	魔法属性索引5	魔法属性索引6	所在套装
四空戒刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	2	99999	10	0	28	40	40	29	114	114	31	60	60													36	99	32	135									1	59	47	133	113	70	3
四空戒衫	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	黄金装备	0	99999	10	0	30	500	500	31	60	60																36	95	32	210									92	179	96	39	178	176	3
四空软绦	0	6	1	\spr\item\equip\sash\obj-sash08.spr	33	2	1	黄金装备	4	99999	10	0	30	100	100	31	60	60																36	80	32	85									4	31	62	35	90	155	3
四空护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备	3	99999	10	0	30	90	90	31	60	60																36	85	32	80									2	27	56	43	6	60	3
四空法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	1	99999	10	0	31	60	60																			36	50											129	130					3
撼天神锤	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	黄金装备	2	99999	10	0	28	55	55	29	165	165	31	60	60													36	99	32	240									1	133	47	70	113	72	4
撼天战甲	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	黄金装备	0	99999	10	0	30	720	720	31	60	60																36	95	32	280									92	181	96	39	180	184	4
撼天腰环	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	黄金装备	4	99999	10	0	30	160	160	31	60	60																36	85	32	135									4	31	53	35	90	156	4
撼天护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备	3	99999	10	0	30	135	135	31	60	60																36	50	32	110									129	130					4
撼天战靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备	1	99999	10	0	30	160	160	31	60	60																36	90	32	135									1	135	56	103	66	280	4
继业之奔雷钻龙枪	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	黄金装备	2	99999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	1					57	51	46	69	110	73	5
继业之玄武黄金铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	黄金装备	0	99999	10	0	30	720	720	31	60	60																36	95	32	260	33	110							92	186	96	39	185	280	5
继业之白虎无双扣	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	黄金装备	4	99999	10	0	30	160	160	31	60	60																36	85	32	110	33	45							4	31	65	35	90	156	5
继业之火云麒麟手	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	黄金装备	3	99999	10	0	30	135	135	31	60	60																36	50	32	90	33	35							129	130					5
继业之朱雀凌云靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备	1	99999	10	0	30	160	160	31	60	60																36	90	32	110	33	45							1	133	68	103	54	181	5
御龙宝刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	2	99999	10	0	28	40	40	29	114	114	31	60	60													36	99	32	135									1	51	47	70	110	72	6
御龙战甲	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	黄金装备	0	99999	10	0	30	630	630	31	60	60																36	95	32	210	33	90							92	190	96	39	187	181	6
御龙腰环	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	黄金装备	4	99999	10	0	30	140	140	31	60	60																36	85	32	85	33	35							4	31	57	35	90	156	6
御龙护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	3	99999	10	0	30	115	115	31	60	60																36	90	32	80	33	30							1	133	60	43	54	280	6
御龙戒指	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备	1	99999	10	0	31	60	60																			36	50											129	130					6
无间软剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	黄金装备	1	99999	10	0	28	46	46	29	86	86	31	60	60													36	99	32	120									1	133	47	43	113	70	7
无间缁衣	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	黄金装备	2	99999	10	0	30	630	630	31	60	60																36	90	32	260									81	194	96	39	193	158	7
无间丝带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备	0	99999	10	0	30	140	140	31	60	60																36	85	32	110									4	31	53	35	78	157	7
无间护腕	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	黄金装备	4	99999	10	0	30	115	115	31	60	60																36	50	32	90									129	130					7
无间软履	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	黄金装备	3	99999	10	0	30	140	140	31	60	60																36	80	32	110									1	56	58	103	78	197	7
无魇之摩尼冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	黄金装备	0	99999	10	0	30	275	275	31	60	60																36	50	32	110									129	130					8
无魇之紫襟袈裟	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	黄金装备	4	99999	10	0	30	500	500	31	60	60																36	90	32	110									1	96	88	39	81	158	8
无魇之冰晶金丝带	0	6	0	\spr\item\equip\sash\obj-sash09.spr	33	2	1	黄金装备	3	99999	10	0	30	100	100	31	60	60																36	85	32	50									4	31	58	35	78	157	8
无魇之洗象玉扣	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	黄金装备	1	99999	10	0	31	60	60																			36	95	39	4									1	304	57	146	198	200	8
无魇之红缁软禢鞋	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	黄金装备	2	99999	10	0	30	100	100	31	60	60																36	80	32	50									1	6	60	103	78	197	8
无尘法冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	黄金装备	3	99999	10	0	30	250	250	31	60	60																36	50	32	90									129	130					9
无尘颈坠	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备	1	99999	10	0	31	60	60																			36	90											1	89	8	96	58	107	9
无尘丝带	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	黄金装备	2	99999	10	0	30	80	80	31	60	60																36	85	32	35									4	31	5	35	27	201	9
无尘腰配	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	黄金装备	0	99999	10	0	31	60	60																			36	80											1	158	5	197	59		9
无尘软履	0	5	2	\spr\item\equip\boots\obj-shoes15.spr	27	2	2	黄金装备	4	99999	10	0	30	80	80	31	60	60																36	85	32	35									1	39	59	103	86	202	9
栖凰仪刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	1	99999	10	0	28	40	40	29	114	114	31	60	60													36	99	32	135									1	133	47	72	113	70	10
栖凰项链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备	2	99999	10	0	31	60	60																			36	95											1	96	53	107	81	282	10
栖凰束带	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	黄金装备	0	99999	10	0	30	80	80	31	60	60																36	80	32	35									4	31	53	35	78	204	10
栖凰护腕	0	8	0	\spr\item\equip\bangle\obj-bangle9.spr	35	1	2	黄金装备	4	99999	10	0	30	70	70	31	60	60																36	85	32	30									1	205	56	133	78	208	10
栖凰指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	3	99999	10	0	31	60	60																			36	50											129	130					10
碧海之鸳鸯连环刀	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	黄金装备	3	99999	10	0	28	69	69	29	128	128	31	60	60													36	95	32	70	33	90							1	128	6	129	59	291	11
碧海之环珠雨链	0	4	0	\spr\item\equip\nick\obj-neck09.spr	36	2	1	黄金装备	1	99999	10	0	31	60	60																			36	90											1	96	5	59	81	107	11
碧海之红铃金丝带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	黄金装备	2	99999	10	0	30	100	100	31	60	60																36	80	32	50									4	31	5	35	78	209	11
碧海之红铃波	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	黄金装备	0	99999	10	0	31	60	60																			36	85	39	5									1	296	8	39	78	282	11
碧海之纤细指环	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	4	99999	10	0	31	60	60																			36	50											129	130					11
幽胧之金蛇发带	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备	2	99999	10	0	30	275	275	31	60	60																36	50	32	110									129	130					12
幽胧之赤蝎秘装	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	黄金装备	0	99999	10	0	30	500	500	31	60	60																36	90	32	110									1	96	57	39	89	160	12
幽胧之青蜈缠腰	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	黄金装备	4	99999	10	0	30	100	100	31	60	60																36	80	32	50									1	31	57	35	27	225	12
幽胧之银蟾护手	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备	3	99999	10	0	30	90	90	31	60	60																36	99	32	35									4	128	57	129	129	226	12
幽胧之墨蛛软履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	黄金装备	1	99999	10	0	30	100	100	31	60	60																36	85	32	50	39	3							1	127	60	103	86	229	12
冥幻毒刃	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	3	99999	10	0	28	40	40	29	114	114	31	60	60													36	99	32	135									1	129	47	69	86	73	13
冥幻暗衣	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	黄金装备	1	99999	10	0	30	500	500	31	60	60																36	95	32	210									89	231	96	39	230	161	13
冥幻腰带	0	6	1	\spr\item\equip\sash\obj-sash19.spr	33	2	1	黄金装备	2	99999	10	0	30	100	100	31	60	60																36	80	32	85									4	31	53	35	27	160	13
冥幻护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	黄金装备	0	99999	10	0	30	90	90	31	60	60																36	50	32	80									129	130					13
冥幻战鞋	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备	4	99999	10	0	30	100	100	31	60	60																36	85	32	85									1	133	56	103	86	283	13
咒缚头冠	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备	4	99999	10	0	30	250	250	31	60	60																36	50	32	90									129	130					14
咒缚颈符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备	3	99999	10	0	31	60	60																			36	90											1	60	61	96	89	107	14
咒缚腰带	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	黄金装备	1	99999	10	0	30	80	80	31	60	60																36	80	32	35									4	31	61	35	27	235	14
咒缚护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备	2	99999	10	0	30	70	70	31	60	60																36	82	32	30									1	161	64	233	59	234	14
咒缚战鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备	0	99999	10	0	30	80	80	31	60	60																36	85	32	35									1	96	61	130	86	236	14
冰寒飞刀	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	黄金装备	3	99999	10	0	28	44	44	29	100	100	31	60	60													36	99	32	119	33	130							1	129	47	72	133	70	15
冰寒束甲	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备	1	99999	10	0	30	575	575	31	60	60																36	95	32	110	33	210							89	213	96	39	212	163	15
冰寒纵绦	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备	2	99999	10	0	30	120	120	31	60	60																36	80	32	50	33	85							4	31	65	35	27	162	15
冰寒护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备	0	99999	10	0	30	105	105	31	60	60																36	50	32	35	33	80							129	130					15
冰寒速靴	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	黄金装备	4	99999	10	0	30	120	120	31	60	60																36	85	32	50	33	85							1	133	68	103	86	224	15
天光袖箭	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	黄金装备	3	99999	10	0	28	46	46	29	102	102	31	60	60													36	99	32	65	33	230							1	133	47	72	113	70	16
天光项链	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	黄金装备	1	99999	10	0	31	60	60																			36	95											1	96	65	107	89	224	16
天光纵绦	0	6	0	\spr\item\equip\sash\obj-sash09.spr	33	2	1	黄金装备	2	99999	10	0	30	80	80	31	60	60																36	80	32	50	33	85							4	31	65	35	27	162	16
天光护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	黄金装备	0	99999	10	0	30	70	70	31	60	60																36	90	32	35	33	80							1	129	68	216	212	163	16
天光扳指	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备	4	99999	10	0	31	60	60																			36	50											129	130					16
森荒飞镖	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	黄金装备	3	99999	10	0	28	42	42	29	98	98	31	60	60													36	99	32	90	33	175							1	129	47	72	133	70	15
森荒束甲	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备	1	99999	10	0	30	575	575	31	60	60																36	95	32	110	33	210							89	218	96	39	212	163	15
森荒纵绦	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	黄金装备	2	99999	10	0	30	120	120	31	60	60																36	80	32	50	33	85							4	31	65	35	27	162	15
森荒护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备	0	99999	10	0	30	105	105	31	60	60																36	50	32	35	33	80							129	130					15
森荒速靴	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	黄金装备	4	99999	10	0	30	120	120	31	60	60																36	85	32	50	33	85							1	133	67	103	86	224	15
地魄头冠	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	黄金装备	4	99999	10	0	30	250	250	31	60	60																36	50	32	90									129	130					18
地魄项链	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	黄金装备	3	99999	10	0	31	60	60																			36	95											1	96	61	129	89	107	18
地魄纵绦	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	黄金装备	1	99999	10	0	30	80	80	31	60	60																36	90	32	35									1	35	27	129	31	223	18
地魄护腕	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	黄金装备	2	99999	10	0	30	70	70	31	60	60																36	80	32	30									4	222	61	129	86	163	18
地魄速靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备	0	99999	10	0	30	80	80	31	60	60																36	85	32	35									1	129	63	103	86	224	18
同仇之飞龙头环	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	黄金装备	0	99999	10	0	30	275	275	31	60	60																36	85	32	110									1	96	5	164	83	241	19
同仇之降龙丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	黄金装备	4	99999	10	0	30	500	500	31	80	80																36	90	32	110	39	6							1	96	5	39	60	238	19
同仇之潜龙腰带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	黄金装备	3	99999	10	0	30	100	100	31	60	60																36	85	32	50									4	31	5	35	57	240	19
同仇之亢龙护手	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备	1	99999	10	0	30	90	90	31	60	60																36	95	32	30									1	43	8	129	237	290	19
同仇之见龙扳指	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备	2	99999	10	0	31	60	60																			36	50											129	130					19
敌忾竹杖	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	黄金装备	4	99999	10	0	28	69	69	29	128	128	31	60	60													36	99	32	180									1	133	96	69	113	73	20
敌忾丐衫	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	黄金装备	3	99999	10	0	30	630	630	31	60	60																36	90	32	260									1	96	53	39	60	241	20
敌忾腰带	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	黄金装备	1	99999	10	0	30	140	140	31	60	60																36	85	32	110									4	27	53	35	57	290	20
敌忾护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	黄金装备	2	99999	10	0	30	115	115	31	60	60																36	95	32	90									1	43	56	289	242	244	20
敌忾戒指	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	0	99999	10	0	31	60	60																			36	50											129	130					20
魔煞神针	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	黄金装备	4	99999	10	0	28	18	18	29	158	158	31	60	60													36	99	32	165	33	165							1	43	96	70	51	72	21
魔煞战衣	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	22	2	3	黄金装备	3	99999	10	0	30	630	630	31	60	60																36	90	32	210	33	110							1	257	68	39	96	249	21
魔煞环条	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	黄金装备	1	99999	10	0	30	140	140	31	60	60																36	85	32	85	33	50							4	27	53	35	65	254	21
魔煞护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	2	99999	10	0	30	115	115	31	60	60																36	95	32	80	33	35							1	133	56	246	245	166	21
魔煞指环	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	0	99999	10	0	31	60	60																			36	50											129	130					21
魔煌之金甲盔	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	黄金装备	0	99999	10	0	30	250	250	31	60	60																36	50	32	90									129	130					22
魔煌之按出虎项圈	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	黄金装备	4	99999	10	0	31	60	60																			36	95	39	7									1	60	62	95	87	107	22
魔煌之溪谷束腰带	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	黄金装备	3	99999	10	0	30	80	80	31	60	60																36	80	32	35									1	31	5	35	27	256	22
魔煌之血衣兽镯	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	黄金装备	1	99999	10	0	30	70	70	31	60	60																36	90	32	30									1	129	5	251	250	255	22
魔煌之蹬踏靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备	2	99999	10	0	30	80	80	31	60	60																36	85	32	35									1	43	8	103	57	254	22
魔嗜头冠	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	黄金装备	0	99999	10	0	30	250	250	31	60	60																36	50	32	90									129	130					23
魔嗜项链	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	黄金装备	4	99999	10	0	31	60	60																			36	95											4	60	62	96	83	107	23
魔嗜环条	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	黄金装备	3	99999	10	0	30	80	80	31	60	60																36	80	32	35									1	31	5	35	27	166	23
魔嗜护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备	1	99999	10	0	30	70	70	31	60	60																36	85	32	30									1	257	5	166	254	256	23
魔嗜战靴	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	黄金装备	2	99999	10	0	30	80	80	31	60	60																36	90	32	35									1	96	8	103	57	255	23
凌岳之真武剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	黄金装备	0	99999	10	0	28	46	46	29	86	86	31	60	60													36	99	32	120									1	133	96	69	51	73	24
凌岳道袍	0	2	15	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	黄金装备	4	99999	10	0	30	720	720	31	60	60																36	90	32	260	33	110							68	39	92	129	96	288	24
凌岳法绦	0	6	0	\spr\item\equip\sash\obj-sash09.spr	33	2	1	黄金装备	3	99999	10	0	30	160	160	31	60	60																36	85	32	110	33	50							65	31	56	35	7	286	24
凌岳护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	1	99999	10	0	30	135	135	31	60	60																36	80	32	90	33	35							4	287	53	259	258	157	24
凌岳扳指	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备	2	99999	10	0	31	60	60																			36	50	32	110	33	50							129	130					24
及丰之五龙冠	0	7	1	\spr\item\equip\cap\obj-ma-cap06-1.spr	28	2	2	黄金装备	2	99999	10	0	30	250	250	31	60	60																36	80	32	90									2	129	61	129	129	129	25
及丰之三清符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备	0	99999	10	0	31	60	60																			36	95	39	8									2	84	62	95	89	107	25
及丰之玄丝三段锦	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备	4	99999	10	0	30	80	80	31	60	60																36	85	32	35									4	31	62	35	27	286	25
及丰之翠玉玄黄佩	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	黄金装备	3	99999	10	0	30	70	70	31	60	60																36	90											1	129	64	264	263	157	25
及丰之法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	1	99999	10	0	31	60	60																			36	50											129	130					25
霜晶寒铁	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	0	99999	10	0	28	40	40	29	114	114	31	60	60													36	99	32	135									2	43	62	70	96	72	26
霜晶道袍	0	2	15	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	黄金装备	4	99999	10	0	30	500	500	31	60	60																36	90	32	210									2	96	54	39	85	271	26
霜晶缕带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备	3	99999	10	0	30	100	100	31	60	60																36	80	32	85									4	31	53	35	27	169	26
霜晶护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	1	99999	10	0	30	90	90	31	60	60																36	85	32	80									1	133	56	268	267	270	26
霜晶指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备	2	99999	10	0	31	60	60																			36	50											129	130					26
雷琼宝剑	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	黄金装备	0	99999	10	0	30	250	250	31	60	60																36	85	32	90									2	92	62	129	59	169	27
雷琼颈坠	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	黄金装备	4	99999	10	0	31	60	60																			36	95											2	85	62	96	59	107	27
雷琼缕带	0	6	0	\spr\item\equip\sash\obj-sash09.spr	33	2	1	黄金装备	3	99999	10	0	30	80	80	31	60	60																36	80	32	35									4	31	61	35	27	272	27
雷琼腰配	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	黄金装备	1	99999	10	0	31	60	60																			36	90											1	129	64	273	272	271	27
雷琼指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	2	99999	10	0	31	60	60																			36	80											129	130					27
雾幻琼冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	黄金装备	0	99999	10	0	30	250	250	31	60	60																36	85	32	90									2	39	62	271	92	279	28
雾幻颈坠	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	黄金装备	4	99999	10	0	31	60	60																			36	95											2	60	62	96	85	107	28
雾幻缕带	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	黄金装备	3	99999	10	0	30	80	80	31	60	60																36	80	32	35									4	31	61	35	27	276	28
雾幻腰配	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备	1	99999	10	0	31	60	60	31	60	60																36	85											1	169	64	277	82	278	28
雾幻指环	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	2	99999	10	0	31	60	60																			36	80											129	130					28
雅典之魂	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color=Yellow>向在雅典盛会上为国争光的运动健儿们致以最崇高的敬意！<color>	2	99999	10	0																						36	60											129	130					29
北京之梦	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color=Yellow>北京-2008-绚烂的舞台-让我们携起手来共创辉煌！<color>	3	99999	10	0																						36	60											129	130					29
洞察之白金雕龙戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	3	99999	10	0	31	60	60																			36	80											53	7	65	2	10	98	30
