SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	ColideEvent	ColideSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	SkillDesc
狮子吼	内功系攻击	20	2	0	\spr\Ui\技能图标\icon_sk_sl_42.spr	\spr\skill\少林\sl_06_狮子吼.spr	\sound\skill\狮子吼.wav	0	0	0	2	0	400	0	0	0	1	7	77	0	1	1	11	1	0	5	0	0	0	30	0	0	1	0	0	0	0	0	1	22	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	\script\skill\shaolin\shizi-hou.lua	physicsdamage_v		skill_cost_v		skill_eventskilllevel		stun_p														少林禅唱，以深厚内力震晕附近的敌人。
易筋经	被动防御辅助	21	21	3	\spr\Ui\技能图标\icon_sk_sl_43.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					1	0	\script\skill\shaolin\yijin-jing.lua	allres_p																				少林无上内功，能增加所有的抗性。
金波		22		0					0	0	3	0	0	0	1	0	0	3	59	1	32	1	11	0	0	5	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					1	0																						
天王枪法	被动攻击辅助	23	11	3	\spr\Ui\技能图标\枪法.spr		0	0	0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tianwang\天王枪法.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高使用枪类武器的能力。
天王刀法	被动攻击辅助	24	11	3	\spr\Ui\技能图标\刀法.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tianwang\天王刀法.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高使用刀类武器的能力。
圣王刀法取消	被动攻击辅助	25	11	3	\spr\Ui\技能图标\刀法.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0																						
天王锤法	被动攻击辅助	26	11	3	\spr\Ui\技能图标\双锤套路.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tianwang\天王锤法.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高使用锤类武器的能力。
天王斧法取消	被动攻击辅助	27	11	3	\spr\Ui\技能图标\棍法.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0																						
圣王斧法取消	被动攻击辅助	28	11	3	\spr\Ui\技能图标\双锤套路.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0																						
斩龙诀	外功系攻击	29	1	0	\spr\Ui\技能图标\icon_sk_tw_01.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	72	0	0	0	1	1	74	0	1	1	9	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	0	80	0	0		0					0	0	\script\skill\tianwang\斩龙决.lua	physicsenhance_p		firedamage_v		skill_cost_v																天王入门武功，攻击时带有少量火系伤害。
回风落雁	外功系攻击	30	1	1	\spr\Ui\技能图标\icon_sk_tw_02.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	90	0	1	7	1	12	219	0	2	0	9	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	1	80	0	10		0					0	0	\script\skill\tianwang\回风落雁.lua	physicsenhance_p		skill_cost_v		attackrating_p																天王入门招式，快速发出两次攻击但命中率和伤害会略有减少。
行云诀	内功系攻击	31	2	0	\spr\Ui\技能图标\icon_sk_tw_11.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	72	0	0	0	1	1	72	0	1	1	9	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	20	-2	0	80	0	0		0					1	0	\script\skill\tianwang\行云决.lua	physicsenhance_p		colddamage_v		skill_cost_v																天王进阶武功，攻击时带有冰系伤害。
无心斩	外功系攻击	32	1	1	\spr\Ui\技能图标\icon_sk_tw_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	1	90	5	1	5	1	12	220	0	1	0	9	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	20	-2	1	90	0	0		0					0	0	\script\skill\tianwang\无心斩.lua	physicsenhance_p		ignoredefense_p		skill_cost_v																天王进阶攻击招式，一定几率忽略敌人的防御力。
静心诀	主动攻击辅助	33	12	2	\spr\Ui\技能图标\icon_sk_tw_13.spr		\sound\skill\sound_k002.wav		46	0	2	0	180	0	0	0	1	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	\script\skill\tianwang\jingxin-jue.lua	attackratingenhance_p		skill_cost_v																		天王初级心法，能增加自己的命中率。
惊雷斩	外功系攻击	34	1	0	\spr\Ui\技能图标\icon_sk_tw_11.spr		\sound\skill\sound_k003.wav		0	0	0	0	72	0	0	0	1	1	73	0	1	1	9	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	-2	0	80	0	0		0					0	0	\script\skill\tianwang\惊雷斩.lua	physicsenhance_p		lightingdamage_v		skill_cost_v																天王中级武功，攻击时带有闪电伤害。
阳关三叠	外功系攻击	35	1	1	\spr\Ui\技能图标\icon_sk_tw_22.spr		\sound\skill\sound_k003.wav	0	0	0	0	0	90	0	1	6	1	12	221	0	3	0	10	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	-2	1	80	0	10		0					0	0	\script\skill\tianwang\三潭映月.lua	physicsenhance_p		attackrating_p		skill_cost_v																天王中级招式，一连发出三次攻击但命中率和伤害会略有减少。
天王战意	主动属性加强	36	42	2	\spr\Ui\技能图标\icon_sk_tw_23.spr		\sound\skill\sound_k003.wav		47	0	2	0	400	0	0	0	1	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	\script\skill\tianwang\天王战意.lua	lifemax_p		skill_cost_v																		天王高级心法，能短时间增加自身的生命上限。
泼风斩	外功系攻击	37	1	1	\spr\Ui\技能图标\icon_sk_tw_31.spr		\sound\skill\sound_k004.wav	0	0	0	0	1	90	5	1	5	1	8	222	0	2	0	9	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40	20	-2	0	80	0	0		0					0	0	\script\skill\tianwang\pofeng-zhan.lua	physicsenhance_p		colddamage_v		skill_cost_v		attackrating_p														天王高级武功，以强力的打击能力致敌受伤，并且行动减缓。
盘古九式取消		38		1	\spr\Ui\技能图标\icon_sk_tw_32.spr		\sound\skill\sound_k004.wav	0	0	0	0	0	90	0	1	5	1	10	223	0	1	0	9	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	40	20	-2	1	80	0	0		0					1	0	\script\skill\tianwang\盘古九式.lua	stun_p		skill_cost_v																		天王高级招式，一定几率会震晕敌人。
沾衣十八跌取消		39		2	\spr\Ui\技能图标\icon_sk_tw_33.spr		\sound\skill\sound_k004.wav		48	0	2	0	400	0	0	0	1	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					1	0	\script\skill\tianwang\沾衣十八跌.lua	meleedamagereturn_p		skill_cost_v																		天王特殊心法，反弹敌人对自己的近身攻击伤害。
断魂刺	外功系攻击	40	1	1	\spr\Ui\技能图标\icon_sk_tw_41.spr		\sound\skill\sound_k005.wav	0	0	0	2	1	200	5	1	5	1	11	224	0	1	0	9	0	1	5	0	0	0	27	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	20	-2	0	35	0	32		5					0	0	\script\skill\tianwang\duanhun-ci.lua	physicsenhance_p		deadlystrike_p		skill_cost_v		stun_p		skill_param1_v		skill_param2_v										天王最高武功，冲撞中爆发出加倍的伤害力并将敌人撞晕。
血战八方	外功系攻击	41	1	1	\spr\Ui\技能图标\icon_sk_tw_42.spr		\sound\skill\sound_k005.wav	0	0	0	0	1	90	5	1	4	1	12	225	0	2	0	9	0	1	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	20	-2	1	100	0	9		0					0	0	\script\skill\tianwang\xuezhan-bafang.lua	physicsenhance_p		skill_cost_v		attackrating_p		deadlystrike_p														天王最强招式，抱着与敌人同归于尽的决心用自己的生命力为代价攻击敌人。
金钟罩	主动防御辅助	42	22	2	\spr\Ui\技能图标\icon_sk_tw_43.spr		\sound\skill\sound_k005.wav		49	0	2	0	400	0	0	0	1	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					1	0	\script\skill\tianwang\jinzhong-zhao.lua	physicsres_p		skill_cost_v		coldres_p		fireres_p														天王硬功心法，短时间内能增加自己的普通攻击防御能力。
唐门暗器	被动攻击辅助	43	11	3	\spr\Ui\技能图标\暗器使用.spr				0	0	3	0	0	0	0	0	3	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tangmeng\唐门暗器.lua	attackratingenhance_p		addphysicsdamage_p																		提高使用暗器的能力。
唐门刀法	被动攻击辅助	44	11	3	\spr\Ui\技能图标\刀法.spr				0	0	3	0	0	0	0	0	3	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tangmeng\唐门刀法.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																提高使用刀类武器的能力。
霹雳弹	内功系攻击	45	2	0	\spr\Ui\技能图标\icon_sk_tm_01.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	400	0	0	0	3	1	35	0	1	1	11	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	\script\skill\tangmeng\霹雳弹.lua	firedamage_v		skill_cost_v																		唐门入门武功,用小号的火器霹雳弹炸伤敌人.
刀刃机关取消		46		4	\spr\Ui\技能图标\icon_sk_tm_02.spr				0	0	2	0	180	0	0	0	3	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\tangmeng\夹子.lua	physicsdamage_v		summonnpctime_v		skill_cost_v																唐门入门级机关陷阱技巧,对单个敌人造成物理伤害.
夺魂镖	外功系攻击	47	1	0	\spr\Ui\技能图标\icon_sk_tm_11.spr		\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	450	0	0	0	3	1	116	0	1	1	11	0	0	5	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	20	100	1	80	0	0		0					0	0	\script\skill\tangmeng\夺魂箭.lua	physicsenhance_p		skill_cost_v		poisondamage_v																唐门进阶武功,必须装备飞镖类暗器.
心眼	被动攻击辅助	48	11	3	\spr\Ui\技能图标\icon_sk_tm_13.spr				0	0	3	0	0	0	0	0	3	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	\script\skill\tangmeng\心眼.lua	deadlystrikeenhance_p		attackspeed_v																		唐门暗器心法，提高使用暗器时会心一击的几率。
地焰机关取消		49		4	\spr\Ui\技能图标\icon_sk_tm_12.spr	\spr\skill\五毒教\wdu_13_魔法施放.spr			0	0	2	0	180	0	0	0	3	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\易筋经.lua	allres_p																				唐门进阶级机关陷阱术,附加了火球伤害.
追心箭	外功系攻击	50	1	0	\spr\Ui\技能图标\icon_sk_tm_22.spr		\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	360	0	2	5	3	1	37	0	2	1	11	0	0	5	0	0	0	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	101	1	50	0	0		0					0	0	\script\skill\tangmeng\双向箭.lua	physicsenhance_p		skill_cost_v		poisondamage_v																唐门中级武功,必须装备飞刀类暗器.
青木取消		51		3	\spr\Ui\技能图标\icon_sk_tm_21.spr				0	0	3	0	0	0	0	0	3	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	\script\skill\tangmeng\青木功.lua	lightingres_p																				唐门独门内功，能增加雷抗性.
暗雷机关取消		52		4	\spr\Ui\技能图标\icon_sk_tm_23.spr	\spr\skill\五毒教\wdu_13_魔法施放.spr			0	0	2	0	180	0	0	0	3	6	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\易筋经.lua	allres_p																				唐门中级机关陷阱术,附带了电系伤害.
短兵物理攻击	外功系攻击	53	1	0	\spr\Ui\技能图标\icon_sk_ty_ap.spr		0	0	0	0	0	0	75	0	0	0	0	1	63	1	1	1	9	0	1	5	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	1	0		0					0	0	\script\skill\special\近程物理攻击.lua	physicsenhance_p		attackrating_p		skill_cost_v																普通攻击。
漫天花雨	内功系攻击	54	2	0	\spr\Ui\技能图标\icon_sk_tm_32.spr	\spr\skill\五毒教\wdu_13_魔法施放.spr	0	0	0	0	2	0	400	0	0	0	3	6	38	1	1	1	11	1	0	5	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	187	0	0	40	20	-2	1	15	0	0		0					0	0	\script\skill\tangmeng\漫天花雨.lua	physicsdamage_v		skill_cost_v		poisondamage_v																唐门高级武功,用暗器攻击大范围的敌人.
淬毒术	主动攻击辅助	55	12	2	\spr\Ui\技能图标\icon_sk_tm_31.spr	\spr\skill\五毒教\wdu_13_魔法施放.spr			35	0	2	0	400	0	0	0	3	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					1	0	\script\skill\tangmeng\毒附加.lua	addpoisondamage_v		skill_cost_v																		唐门使毒奇技，短时间内暗器攻击增加毒伤害。
寒霜机关取消		56		4	\spr\Ui\技能图标\icon_sk_tm_33.spr	\spr\skill\五毒教\wdu_13_魔法施放.spr			0	0	2	0	180	0	0	0	3	6	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					1	0	\script\skill\saolin\易筋经.lua	allres_p																				唐门高级机关陷阱术,附加了冰系伤害.
冰魄寒光	主动攻击辅助	57	12	2	\spr\Ui\技能图标\icon_sk_tm_42.spr	\spr\skill\五毒教\wdu_13_魔法施放.spr			36	0	2	0	180	0	0	0	3	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					1	0	\script\skill\tangmeng\冰附加.lua	addcolddamage_v		skill_cost_v																		唐门独门奇技，短时间内暗器攻击增加冰伤害。
天罗地网	外功系攻击	58	1	0	\spr\Ui\技能图标\icon_sk_tm_43.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	0	520	0	0	0	3	1	67	0	1	1	11	1	0	5	0	0	0	2	1	0	1	0	0	0	1	1	0	0	0	0	0	1	227	1	227	50	20	102	0	0	0	0		0					0	0	\script\skill\tangmen\tianluo-diwang.lua	physicsenhance_p		skill_cost_v		skill_eventskilllevel		missle_speed_v		missle_lifetime_v												唐门独门暗器，击中对手后可以飞射出更多的暗器，大面积伤害对手。
